"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENTPD1"	0.25063665	0.97045145	"DGN-WB_exp"	"0.1985573-0.3009593"	"0.872880045-0.9973905"
"SGPL1"	0.1024926	0.8809246	"DGN-WB_exp"	"0.06960084-0.1468622"	"0.656959245-0.99216367"
"PARD3"	0.05467215	0.7925758	"DGN-WB_exp"	"0.02676465-0.0986248525"	"0.03508274475-0.9894445925"
"SLC29A3"	0.2249124	0.9201021	"DGN-WB_exp"	"0.1760643125-0.281053485"	"0.78715524-0.9948674"
"ACADSB"	0.078307615	0.5084636	"DGN-WB_exp"	"0.03897736225-0.1305762475"	"0.02822706-0.9229651175"
"SHOC2"	0.0059111305	0.08966715	"DGN-WB_exp"	"0.00022424154-0.030448478"	"0-0.922381765"
"ERCC6"	0.069784995	0.86030095	"DGN-WB_exp"	"0.03765557-0.110238345"	"0.43619946-0.9936726975"
"MRPS16"	0.04092365	0.8622816	"DGN-WB_exp"	"0.01307994-0.1306504825"	"0.23542438-0.9926399175"
"PFKP"	0.3909849	0.92195325	"DGN-WB_exp"	"0.3368105-0.4420277"	"0.8180272375-0.9835823"
"AFAP1L2"	0.03961657	0.6227899	"DGN-WB_exp"	"0.01270534775-0.07754982575"	"0-0.9698063875"
"SH2D4B"	0.02822855	0.26524925	"DGN-WB_exp"	"0.0023740736-0.081122864"	"0-0.923006325"
"HNRNPF"	0.005234176	0.17454345	"DGN-WB_exp"	"0.0001212687-0.0275141565"	"0-0.9424973975"
"HKDC1"	0.36599	0.90251795	"DGN-WB_exp"	"0.3141637325-0.4249648"	"0.8123586725-0.9831648"
"CTBP2"	0.02151943	0.2407139	"DGN-WB_exp"	"0.001457696875-0.0589084632499999"	"0-0.9592005"
"ATAD1"	0.032630435	0.558861	"DGN-WB_exp"	"0.0086688523-0.071691695"	"0.0219297035-0.97901378"
"FRAT1"	0.27870205	0.9821403	"DGN-WB_exp"	"0.2304379475-0.3282937"	"0.892909825-0.9995071"
"FRAT2"	0.2405203	0.901994	"DGN-WB_exp"	"0.1760110225-0.3148424"	"0.669521-0.9901592"
"CALHM2"	0.2885012	0.9775197	"DGN-WB_exp"	"0.2465533-0.3418654"	"0.91616609-0.9992195"
"POLR3A"	0.01566974	0.065428055	"DGN-WB_exp"	"0.0011300045-0.04594185075"	"0-0.9004949525"
"MTPAP"	0.1092789	0.8974301	"DGN-WB_exp"	"0.07119412-0.1605643"	"0.6752191-0.9935927"
"CALHM1"	0.1091987	0.9334213	"DGN-WB_exp"	"0.0685356195-0.1617393"	"0.75012309-0.9967629"
"ADAM8"	0.062763005	0.8493449	"DGN-WB_exp"	"0.03066823-0.1096957275"	"0.0743878225-0.9953103"
"SCD"	0.036891	0.7764061	"DGN-WB_exp"	"0.013308204-0.07223666075"	"0.2842037825-0.988409785"
"CAMK2G"	0.00779463	0.2847302	"DGN-WB_exp"	"0.00040719-0.0360589705"	"0-0.96454211"
"KLF6"	0.01874232	0.32029835	"DGN-WB_exp"	"0.000988963255-0.0550131664999999"	"0-0.95214185"
"JAKMIP3"	0.22325275	0.91496195	"DGN-WB_exp"	"0.1748875675-0.2865123725"	"0.7216062525-0.9940316"
"NMT2"	0.4485417	0.9727679	"DGN-WB_exp"	"0.3925553-0.4961491"	"0.9277835325-0.9972811"
"CCAR1"	0.0037624915	0.02864956	"DGN-WB_exp"	"0.0001580524-0.0209190595"	"0-0.9166046775"
"NODAL"	0.06973508	0.9006813	"DGN-WB_exp"	"0.039201714-0.1109257"	"0.6437813-0.994528865"
"CDHR1"	0.19530505	0.8909568	"DGN-WB_exp"	"0.1479679-0.2576884"	"0.6968212225-0.9868936075"
"ZMIZ1"	0.02602457	0.5847458	"DGN-WB_exp"	"0.002350599375-0.0647784685"	"0-0.981051595"
